"iteration","open_ms","private_mb","working_mb"
"1","32.52","13.41","52.58"
"2","18.825","14.7","53.88"
"3","9.862","14.72","53.93"
"4","7.76","15.02","54"
"5","27.735","15.02","54"
"6","8.117","14.78","54.01"
"7","12.85","14.78","54.02"
"8","6.177","15.29","54.02"
"9","26.817","15.29","54.03"
"10","9.734","15.29","54.02"
"11","33.211","13.59","53.07"
"12","11.099","15.03","54.07"
"13","9.008","15.03","54.07"
"14","7.657","14.78","54.07"
"15","25.47","14.78","54.07"
"16","20.547","14.78","54.06"
"17","29.229","14.77","54.04"
"18","7.671","15.04","54.07"
"19","11.68","15.03","54.05"
"20","24.988","15.04","54.07"
"21","7.387","14.03","53.34"
"22","6.646","15.05","54.06"
"23","30.742","15.3","54.06"
"24","7.244","15.3","54.05"
"25","27.806","15.3","54.14"
"26","14.15","14.79","54.23"
"27","35.956","13.73","53.18"
"28","11.09","15.55","54.22"
"29","22.179","15.55","54.22"
"30","11.182","15.62","54.5"
"31","12.386","14.02","53.5"
"32","7.571","15.1","54.25"
"33","13.393","15.09","54.23"
"34","9.522","15.1","54.32"
"35","34.059","13.76","53.27"
"36","9.087","15.1","54.25"
"37","31.034","15.1","54.25"
"38","9.04","15.1","54.25"
"39","29.266","13.75","53.26"
"40","10.252","15.1","54.26"
"41","29.95","14.08","53.55"
"42","9.497","15.3","54.31"
"43","14.039","15.3","54.31"
"44","10.483","15.28","54.3"
"45","43.299","14.34","53.58"
"46","22.79","15.3","54.31"
"47","11.728","15.3","54.31"
"48","9.446","15.06","54.32"
"49","31.42","13.81","53.31"
"50","8.548","15.31","54.32"
"51","12.821","15.31","54.32"
"52","9.638","15.81","54.31"
"53","28.546","15.81","54.31"
"54","21.774","15.05","54.28"
"55","11.606","13.77","53.28"
"56","8.75","15.56","54.28"
"57","28.339","15.56","54.32"
"58","8.404","15.31","54.31"
"59","10.283","13.79","53.29"
"60","8.874","15.54","54.29"
"61","22.818","15.54","54.29"
"62","21.915","15.54","54.29"
"63","26.885","15.56","54.3"
"64","7.526","15.37","54.28"
"65","31.56","13.8","53.3"
"66","6.761","15.38","54.29"
"67","23.285","15.38","54.3"
"68","7.01","15.14","54.31"
"69","27.519","13.8","53.31"
"70","8.356","15.64","54.31"
"71","28.012","15.64","54.32"
"72","5.479","15.64","54.29"
"73","25.631","13.8","53.31"
"74","5.433","14.86","54.27"
"75","28.992","14.86","54.28"
"76","5.589","15.3","54.32"
"77","9.955","15.29","54.3"
"78","27.87","15.05","54.29"
"79","5.345","15.04","54.3"
"80","5.3","15.3","54.36"
"81","20.914","15.3","54.39"
"82","9.856","15.3","54.38"
"83","31.98","15.3","54.39"
"84","13.426","15.03","54.39"
"85","6.571","15.02","54.37"
"86","6.694","15.3","54.38"
"87","26.762","13.88","53.39"
"88","5.481","15.04","54.38"
"89","12.876","15.04","54.39"
"90","21.811","15.29","54.38"
"91","28.492","15.3","54.38"
"92","10.547","15.3","54.37"
"93","34.237","13.86","53.38"
"94","4.715","15.05","54.39"
"95","24.806","13.9","53.41"
"96","4.758","15.3","54.39"
"97","12.489","13.86","53.38"
"98","4.502","15.3","54.35"
"99","22.377","15.3","54.38"
"100","4.625","15.3","54.35"
