"iteration","open_ms","private_mb","working_mb"
"1","32.581","59.72","78.9"
"2","4.082","59.72","78.9"
"3","4.582","59.72","78.9"
"4","3.368","59.72","78.9"
"5","3.667","59.72","78.9"
"6","3.631","59.72","78.9"
"7","3.47","59.72","78.9"
"8","3.681","59.72","78.9"
"9","3.526","59.72","78.9"
"10","3.534","59.72","78.9"
"11","3.461","59.72","78.9"
"12","3.769","59.72","78.9"
"13","3.472","59.72","78.9"
"14","3.512","59.72","78.89"
"15","3.395","59.72","78.89"
"16","3.476","59.72","78.89"
"17","3.638","59.72","78.89"
"18","3.723","59.72","78.89"
"19","3.328","59.72","78.89"
"20","3.608","59.72","78.89"
"21","4.586","59.72","78.89"
"22","3.485","59.72","78.89"
"23","3.518","59.72","78.89"
"24","3.639","59.72","78.89"
"25","3.563","59.72","78.89"
"26","3.467","59.72","78.89"
"27","3.521","59.72","78.89"
"28","3.55","59.72","78.89"
"29","3.618","59.72","78.89"
"30","3.571","59.72","78.89"
"31","3.649","59.72","78.89"
"32","3.533","59.72","78.89"
"33","3.821","59.72","78.89"
"34","3.677","59.72","78.89"
"35","3.734","59.72","78.89"
"36","3.515","59.72","78.89"
"37","3.666","59.72","78.89"
"38","3.456","59.72","78.89"
"39","3.523","59.72","78.89"
"40","3.735","59.72","78.89"
"41","3.479","59.72","78.89"
"42","4.009","59.72","78.89"
"43","3.941","59.72","78.89"
"44","3.557","59.72","78.89"
"45","3.604","59.72","78.89"
"46","3.672","59.72","78.89"
"47","3.736","59.72","78.89"
"48","3.432","59.72","78.89"
"49","3.83","59.72","78.89"
"50","3.506","59.72","78.89"
"51","3.619","59.72","78.89"
"52","3.402","59.72","78.89"
"53","3.448","59.72","78.89"
"54","3.417","59.72","78.89"
"55","3.549","59.72","78.89"
"56","3.578","59.72","78.89"
"57","3.586","59.72","78.89"
"58","3.605","59.72","78.89"
"59","3.52","59.72","78.89"
"60","3.542","59.72","78.89"
"61","3.46","59.72","78.89"
"62","3.499","59.72","78.89"
"63","3.665","59.72","78.89"
"64","4.039","59.72","78.89"
"65","3.542","59.72","78.89"
"66","4.03","59.72","78.89"
"67","3.703","59.72","78.89"
"68","3.649","59.62","78.84"
"69","3.539","59.62","78.84"
"70","3.731","59.62","78.84"
"71","3.727","59.62","78.84"
"72","3.689","59.62","78.84"
"73","3.437","59.62","78.84"
"74","3.596","59.62","78.84"
"75","3.608","59.62","78.84"
"76","3.727","59.62","78.84"
"77","3.685","59.62","78.84"
"78","3.64","59.62","78.84"
"79","3.414","59.62","78.84"
"80","3.724","59.62","78.84"
"81","3.573","59.62","78.84"
"82","3.477","59.62","78.84"
"83","3.711","59.62","78.84"
"84","3.544","59.62","78.84"
"85","3.551","59.62","78.84"
"86","3.49","59.62","78.84"
"87","3.509","59.62","78.84"
"88","3.63","59.62","78.84"
"89","3.603","59.62","78.84"
"90","3.644","59.62","78.84"
"91","3.621","59.62","78.84"
"92","3.647","59.62","78.84"
"93","3.507","59.62","78.84"
"94","3.597","59.62","78.84"
"95","3.666","59.62","78.84"
"96","3.502","59.62","78.84"
"97","3.599","59.62","78.84"
"98","3.684","59.62","78.84"
"99","3.76","59.62","78.84"
"100","3.515","59.62","78.84"
